"폭력범죄유형별(1)","항목",2018,2020
"전체","범죄피해건수(추정) (건)",257954,404034
"전체","범죄피해율(추정) (%)",0.57,0.88
"전체","인구 10만 명당 피해건수 (건)",566,878
"강도","범죄피해건수(추정) (건)",56933,19070
"강도","범죄피해율(추정) (%)",0.12,0.04
"강도","인구 10만 명당 피해건수 (건)",125,41
"폭행","범죄피해건수(추정) (건)",73222,163490
"폭행","범죄피해율(추정) (%)",0.16,0.36
"폭행","인구 10만 명당 피해건수 (건)",161,355
"성폭력","범죄피해건수(추정) (건)",73196,169686
"성폭력","범죄피해율(추정) (%)",0.16,0.37
"성폭력","인구 10만 명당 피해건수 (건)",161,369
"괴롭힘","범죄피해건수(추정) (건)",54603,51788
"괴롭힘","범죄피해율(추정) (%)",0.12,0.11
"괴롭힘","인구 10만 명당 피해건수 (건)",120,113
