안전시설명,안전시설전화번호,소재지도로명주소,소재지지번주소,위도,경도,현존주소여부
경북슈퍼,031-582-3224,경기도 가평군 가평읍 각담말길 29,경기도 가평군 가평읍 마장리 322-6,37.86070122,127.5141892,S
우리자동차운전학원,031-582-0769,경기도 가평군 가평읍 태봉두밀로 34-71,경기도 가평군 가평읍 상색리 171-1,37.80479081,127.486086,S
경희대튼튼체육관,031-582-6943,경기도 가평군 가평읍 석봉로 146,경기도 가평군 가평읍 읍내리 329-21,37.82807178,127.5115787,S
한마음약국,031-582-2173,경기도 가평군 가평읍 연인1길 1,경기도 가평군 가평읍 읍내리 476-7,37.82928827,127.5136089,S
은혜약국,031-581-7227,경기도 가평군 가평읍 연인길 3,경기도 가평군 가평읍 읍내리 478-23,37.82834975,127.5139659,S
가평충효체육관,031-582-9466,경기도 가평군 가평읍 석봉로 168,경기도 가평군 가평읍 읍내리 493-6,37.8300387,127.5109107,S
한성슈퍼,,경기도 가평군 가평읍 석봉로 163,경기도 가평군 가평읍 읍내리 495-32,37.82965283,127.5105559,S
가평우체국,031-582-2009,경기도 가평군 가평읍 보납로 2,경기도 가평군 가평읍 읍내리 495-6,37.83095836,127.5107466,S
제일분식,,경기도 가평군 가평읍 향교로 34-1,경기도 가평군 가평읍 읍내리 530-1,37.83040459,127.5096296,S
짬뽕늬우스,031-582-5552,경기도 가평군 가평읍 향교로 4,경기도 가평군 가평읍 읍내리 535,37.8295643,127.5101918,S
용인대태권도아카데미,031-582-7479,경기도 가평군 가평읍 석봉로191번길 16,경기도 가평군 가평읍 읍내리 584-7,37.83204197,127.5080732,S
GS25가평중앙점,031-581-0078,경기도 가평군 가평읍 석봉로 209,경기도 가평군 가평읍 읍내리 637-6,37.83373094,127.5091866,S
원방의 집,031-581-1435,경기도 가평군 가평읍 호반로 2135,경기도 가평군 가평읍 이화리 118,37.78093163,127.5081111,S
예수의 집,031-582-8179,경기도 가평군 가평읍 태봉안길 80-50,경기도 가평군 가평읍 하색리 630,37.8092089,127.483026,S
백둔리상신노인전문요양원,031-582-9080,경기도 가평군 북면 백둔로 380-102,경기도 가평군 북면 백둔리 340-1,37.90391655,127.46455,S
북면어린이집,031-582-8357,경기도 가평군 북면 석장모루길 10,경기도 가평군 북면 이곡리 11-6,37.87936569,127.5469626,S
북면우체국,031-582-0565,경기도 가평군 북면 가화로 967,경기도 가평군 북면 이곡리 2-5,37.88214814,127.5472672,S
은선상회,031-582-0047,경기도 가평군 북면 가화로 943,경기도 가평군 북면 이곡리 67-19,37.88014471,127.5460476,S
성라원,031-585-3323,경기도 가평군 상면 물골길 262-23,경기도 가평군 상면 봉수리 49-4,37.84133707,127.3033497,S
상면우체국,031-585-2000,경기도 가평군 상면 청군로 1107,경기도 가평군 상면 연하리 174-10,37.80500817,127.3563671,S
모범약국,031-585-9630,경기도 가평군 상면 청군로 696,경기도 가평군 상면 임초리 412-5,37.77393176,127.3719847,S
설악실버타운,031-585-6672,경기도 가평군 설악면 봉미산안길 116-15,경기도 가평군 설악면 설곡리 239-1,37.61592311,127.5304946,S
용한약국,031-584-7322,경기도 가평군 설악면 신천중앙로 103,경기도 가평군 설악면 신천리 412-11,37.67705705,127.492001,S
설악우체국,031-584-7060,경기도 가평군 설악면 신천중앙로 109,경기도 가평군 설악면 신천리 433-8,37.67724925,127.4912768,S
설악현무체육관,031-584-8201,경기도 가평군 설악면 자잠로 28-8,경기도 가평군 설악면 신천리 443-7,37.6795263,127.4896707,S
gs25편의점,031-585-8303,경기도 가평군 설악면 신천중앙로 129,경기도 가평군 설악면 신천리 458-4,37.67777915,127.4895006,S
이레요양원,031-585-0947,경기도 가평군 설악면 유명로 1277-26,경기도 가평군 설악면 천안리 415-3,37.64864104,127.4742286,S
명지실버하우스,02-325-9451,경기도 가평군 조종면 명지산로 655-25,경기도 가평군 조종면 상판리 17,37.92349765,127.3937829,S
노병사의집,031-585-7460,경기도 가평군 조종면 운악청계로491번길 106,경기도 가평군 조종면 신상리 518-5,37.8538674,127.3467829,S
가평꽃동네노인요양원,031-589-0225,,경기도 가평군 조종면 운악리 540-2,37.88483091,127.3503712,S
또래문구,,경기도 가평군 조종면 조종새싹로 34,경기도 가평군 조종면 현리 233-12,37.82167744,127.3496774,S
서울프라자약국,031-585-1007,경기도 가평군 조종면 현창로38번길 4-1,경기도 가평군 조종면 현리 265-2,37.81845492,127.3487083,S
지연미용실,031-585-0143,경기도 가평군 조종면 조종새싹로 26-1,경기도 가평군 조종면 현리 280-3번지,37.82101105,127.349572,S
힘찬체육관,031-584-4062,,경기도 가평군 조종면 현리 283-3,37.82111876,127.3497088,S
미니스톱,031-584-2976,,경기도 가평군 청평면 대성리 396,37.68152856,127.3781468,S
휠라코리아 대성상설,031-585-6929,경기도 가평군 청평면 경춘로 99,경기도 가평군 청평면 대성리 399,37.68496952,127.3783681,S
GS25 대성리점,031-584-2370,경기도 가평군 청평면 경춘로 99,경기도 가평군 청평면 대성리 399,37.68496952,127.3783681,S
대성마트,031-584-4637,경기도 가평군 청평면 경춘로 61,경기도 가평군 청평면 대성리 399-51,37.68150337,127.3775685,S
상천마트,031-584-0823,,경기도 가평군 청평면 상천리 1354-4,37.769294,127.4588883,S
CU청평역점,031-584-6934,경기도 가평군 청평면 잠곡로 36,경기도 가평군 청평면 청평리 388-10,37.73710283,127.422592,S
알파문구,031-584-8754,경기도 가평군 청평면 청평중앙로72번길 16,경기도 가평군 청평면 청평리 389-1,37.73807636,127.42245,S
미진사세탁,031-584-8490,경기도 가평군 청평면 잠곡로 15,경기도 가평군 청평면 청평리 397-4,37.73707477,127.4203456,S
청평우체국,031-584-2002,경기도 가평군 청평면 잠곡로 19,경기도 가평군 청평면 청평리 397-5,37.73707312,127.4208107,S
용인대화랑체육관,031-584-6378,경기도 가평군 청평면 잠곡로 22-1,경기도 가평군 청평면 청평리 403-10,37.73652247,127.4211139,S
바이크온,031-584-4270,경기도 가평군 청평면 여울길 36-25,경기도 가평군 청평면 청평리 424-6번지,37.73599061,127.4186492,S
세븐일레븐청평터미널점,031-585-5069,경기도 가평군 청평면 청평중앙로 52,경기도 가평군 청평면 청평리 432-29,37.73791356,127.4200894,S
가야편의점,031-962-9116,경기도 고양시 덕양구 벽제관로 33-10,경기도 고양시 덕양구 고양동 235-4,37.70326259,126.9003379,S
행운공인부동산,031-964-3100,,경기도 고양시 덕양구 고양동 719,37.71031028,126.9028685,S
아이모드 안경,031-969-2580,경기도 고양시 덕양구 푸른마을로 6,경기도 고양시 덕양구 고양동 721,37.70876962,126.9028592,S
아이원마트,031-962-9712,경기도 고양시 덕양구 푸른마을로 56,경기도 고양시 덕양구 고양동 730,37.71298046,126.906891,S
통일로약국,031-969-3636,경기도 고양시 덕양구 통일로 772,경기도 고양시 덕양구 관산동 227-11,37.68784685,126.8647601,S
대가떡집,031-964-1660,경기도 고양시 덕양구 통일로 798,경기도 고양시 덕양구 관산동 231-41,37.68890713,126.8623433,S
와와109 문방구,031-962-6643,,경기도 고양시 덕양구 관산동 996,37.69223464,126.8648427,S
내곡슈퍼,031-000-0000,경기도 고양시 덕양구 내곡길70번길 3,경기도 고양시 덕양구 내곡동 44-2번지,37.64335247,126.810071,S
문구프라자,031-962-3660,경기도 고양시 덕양구 유산길 6,경기도 고양시 덕양구 내유동 646-24,37.72526464,126.8440125,S
건강드림약국,031-965-7582,경기도 고양시 덕양구 도래울로 52,경기도 고양시 덕양구 도내동 1020번지 도래울아이랑소아청소년과의원센터프라자 1층 102호,37.63024435,126.8694548,S
도래울떡방,031-907-5988,경기도 고양시 덕양구 도래울1로 57,경기도 고양시 덕양구 도내동 1091번지 태종빌딩 1층 101호,37.62857711,126.8690613,S
GS25 편의점(삼송점),02-381-6867,경기도 고양시 덕양구 삼송로 191,경기도 고양시 덕양구 삼송동 24-35,37.65380379,126.8949439,S
