안전비상벨관리번호,설치목적,설치장소유형,설치위치,소재지도로명주소,소재지지번주소,위도,경도,연계방식,경찰연계유무,경비업체연계유무,관리사무소연계유무,부가기능,안전비상벨설치년도,최종점검일자,최종점검결과구분,관리기관명,관리기관전화번호,데이터기준일자
18074,01,05,청평4·6리 자율방범대본부,,경기도 가평군 청평면 청평리 164-5,37.73753679,127.4313336,03,N,N,N,경보음+CCTV+음성통화,2018,2020-04-30,Y,가평군청,031-580-2571,2022-06-14
18075,01,05,목동초 IGA마트앞,,경기도 가평군 북면 이곡리 65,37.88032057,127.5463098,03,N,N,N,경보음+CCTV+음성통화,2018,2020-04-30,Y,가평군청,031-580-2571,2022-06-14
18077,01,05,우림필유단지앞,,경기도 가평군 가평읍 대곡리 377-1,37.823061,127.510954,03,N,N,N,경보음+CCTV+음성통화,2018,2020-04-30,Y,가평군청,031-580-2571,2022-06-14
18078,01,05,읍내8리마을회관,,경기도 가평군 가평읍 읍내리 299-8,37.830841,127.520215,03,N,N,N,경보음+CCTV+음성통화,2018,2020-04-30,Y,가평군청,031-580-2571,2022-06-14
18079,01,05,광림빌라앞,,경기도 가평군 가평읍 읍내리 384-5,37.8284799,127.516463,03,N,N,N,경보음+CCTV+음성통화,2018,2020-04-30,Y,가평군청,031-580-2571,2022-06-14
18080,01,05,가평5일장화장실,,경기도 가평군 가평읍 읍내리 404-2,37.829547,127.515066,03,N,N,N,경보음+CCTV+음성통화,2018,2020-04-30,Y,가평군청,031-580-2571,2022-06-14
18081,01,05,은파세차장,,경기도 가평군 가평읍 읍내리 462-6,37.830045,127.512842,03,N,N,N,경보음+CCTV+음성통화,2018,2020-04-30,Y,가평군청,031-580-2571,2022-06-14
18082,01,05,가평타임즈,,경기도 가평군 가평읍 읍내리 468-26,37.829584,127.511542,03,N,N,N,경보음+CCTV+음성통화,2018,2020-04-30,Y,가평군청,031-580-2571,2022-06-14
18083,01,05,가평성당앞,,경기도 가평군 가평읍 읍내리 583-5,37.832151,127.508501,03,N,N,N,경보음+CCTV+음성통화,2018,2020-04-30,Y,가평군청,031-580-2571,2022-06-14
18084,01,05,동영모텔,,경기도 가평군 가평읍 읍내리 1049,37.825159,127.515875,03,N,N,N,경보음+CCTV+음성통화,2018,2020-04-30,Y,가평군청,031-580-2571,2022-06-14
18085,01,05,PC사랑사거리,,경기도 가평군 설악면 신천리 497-1,37.679567,127.491559,03,N,N,N,경보음+CCTV+음성통화,2018,2020-04-30,Y,가평군청,031-580-2571,2022-06-14
18086,01,05,설악중고앞,,경기도 가평군 설악면 신천리 499-1,37.6807399,127.492725,03,N,N,N,경보음+CCTV+음성통화,2018,2020-04-30,Y,가평군청,031-580-2571,2022-06-14
18087,01,05,대성리역앞,,경기도 가평군 청평면 대성리 399-114,37.721507,127.403171,03,N,N,N,경보음+CCTV+음성통화,2018,2020-04-30,Y,가평군청,031-580-2571,2022-06-14
18088,01,05,평원산업,,경기도 가평군 청평면 상천리 1737-4,37.788244,127.427474,03,N,N,N,경보음+CCTV+음성통화,2018,2020-04-30,Y,가평군청,031-580-2571,2022-06-14
18089,01,05,청평면사무소앞공원,,경기도 가평군 청평면 청평리 333-1,37.7404481,127.4241733,03,N,N,N,경보음+CCTV+음성통화,2018,2020-04-30,Y,가평군청,031-580-2571,2022-06-14
18091,01,05,가평역뒷길,,경기도 가평군 가평읍 달전리 607-3,37.8152999,127.5103999,03,N,N,N,경보음+CCTV+음성통화,2019,2020-04-30,Y,가평군청,031-580-2571,2022-06-14
18092,01,05,가평초골목길,,경기도 가평군 가평읍 읍내리 553-5,37.8306999,127.5083999,03,N,N,N,경보음+CCTV+음성통화,2019,2020-04-30,Y,가평군청,031-580-2571,2022-06-14
18093,01,05,장터뒷길,,경기도 가평군 가평읍 읍내리 412-4,37.830605,127.515139,03,N,N,N,경보음+CCTV+음성통화,2019,2020-04-30,Y,가평군청,031-580-2571,2022-06-14
18095,01,05,호명산등산로입구,,경기도 가평군 청평면 청평리 151-35,37.732788,127.428318,03,N,N,N,경보음+CCTV+음성통화,2019,2020-04-30,Y,가평군청,031-580-2571,2022-06-14
18096,01,05,가평역앞,,경기도 가평군 가평읍 달전리 591-6,37.813736,127.511684,03,N,N,N,경보음+CCTV+음성통화,2019,2020-04-30,Y,가평군청,031-580-2571,2022-06-14
18097,01,05,청평고등학교 앞,,경기도 가평군 청평면 청평리 688-1,37.730897,127.4140999,03,N,N,N,경보음+CCTV+음성통화,2019,2020-04-30,Y,가평군청,031-580-2571,2022-06-14
18099,01,05,행현1리마을회관,,경기도 가평군 상면 행현리 942-1,37.7737699,127.3636199,03,N,N,N,경보음+CCTV+음성통화,2019,2020-04-30,Y,가평군청,031-580-2571,2022-06-14
18100,01,05,조종초후문,,경기도 가평군 조종면 현리 275-8,37.82055148,127.3490975,03,N,N,N,경보음+CCTV+음성통화,2018,2020-04-30,Y,가평군청,031-580-2571,2022-06-14
18101,01,05,조은카센터,,경기도 가평군 조종면 현리 298-1,37.8202999,127.3466999,03,N,N,N,경보음+CCTV+음성통화,2019,2020-04-30,Y,가평군청,031-580-2571,2022-06-14
18103,01,05,청평중정문,,경기도 가평군 청평면 청평리 745,37.74281107,127.4235506,03,N,N,N,경보음+CCTV+음성통화,2018,2020-04-30,Y,가평군청,031-580-2571,2022-06-14
18104,01,05,청평로얄아파트,,경기도 가평군 청평면 청평리 631-23,37.73224606,127.4124976,03,N,N,N,경보음+CCTV+음성통화,2018,2020-04-30,Y,가평군청,031-580-2571,2022-06-14
18029,01,05,연하초등학교앞,경기도 가평군 상면 태봉골길 165-8,경기도 가평군 상면 태봉리 10-1,37.80311515,127.3414909,03,N,N,N,경보음+CCTV+음성통화,2018,2020-04-30,Y,가평군청,031-580-2571,2022-06-14
18030,01,05,율길초등학교앞,,경기도 가평군 상면 율길리 843,37.83685265,127.2881026,03,N,N,N,경보음+CCTV+음성통화,2018,2020-04-30,Y,가평군청,031-580-2571,2022-06-14
18031,01,05,조종초등학교앞,경기도 가평군 조종면 조종새싹로 13-9,경기도 가평군 조종면 현리 286,37.82189206,127.3494671,03,N,N,N,경보음+CCTV+음성통화,2018,2020-04-30,Y,가평군청,031-580-2571,2022-06-14
18032,01,05,청평초등학교앞,경기도 가평군 청평면 잠곡로 27,경기도 가평군 청평면 청평리 391-6,37.73711647,127.4217447,03,N,N,N,경보음+CCTV+음성통화,2018,2020-04-30,Y,가평군청,031-580-2571,2022-06-14
18033,01,05,청평초등학교후문,,경기도 가평군 청평면 청평리 784-2,37.73850284,127.4216343,03,N,N,N,경보음+CCTV+음성통화,2018,2020-04-30,Y,가평군청,031-580-2571,2022-06-14
18034,01,05,미원초장락분교,경기도 가평군 설악면 미사리로 588,경기도 가평군 설악면 미사리 290-3,37.7036804,127.5402915,03,N,N,N,경보음+CCTV+음성통화,2018,2020-04-30,Y,가평군청,031-580-2571,2022-06-14
18035,01,05,홍익어린이집,,경기도 가평군 가평읍 대곡리 285-4,37.82851047,127.5094636,03,N,N,N,경보음+CCTV+음성통화,2018,2020-04-30,Y,가평군청,031-580-2571,2022-06-14
18036,01,05,가평칼국수,,경기도 가평군 가평읍 읍내리 329-26,37.82804441,127.5118506,03,N,N,N,경보음+CCTV+음성통화,2018,2020-04-30,Y,가평군청,031-580-2571,2022-06-14
18037,01,05,가평초향교입구,,경기도 가평군 가평읍 읍내리 553,37.83137914,127.5072752,03,N,N,N,경보음+CCTV+음성통화,2018,2020-04-30,Y,가평군청,031-580-2571,2022-06-14
18039,01,05,목동버스터미널,경기도 가평군 북면 화악산로 10-1,경기도 가평군 북면 목동리 1105,37.8868593,127.5491868,03,N,N,N,경보음+CCTV+음성통화,2018,2020-04-30,Y,가평군청,031-580-2571,2022-06-14
18040,01,05,상색삼거리입구,경기도 가평군 가평읍 태봉두밀로 6,경기도 가평군 가평읍 상색리 110-1,37.80249808,127.4854696,03,N,N,N,경보음+CCTV+음성통화,2018,2020-04-30,Y,가평군청,031-580-2571,2022-06-14
18042,01,05,설악버스터미널,경기도 가평군 설악면 신천중앙로120번길 5-17,경기도 가평군 설악면 신천리 818-4,37.677699,127.4888315,03,N,N,N,경보음+CCTV+음성통화,2018,2020-04-30,Y,가평군청,031-580-2571,2022-06-14
18047,01,05,준수아파트사거리,,경기도 가평군 가평읍 읍내리 614-3,37.83341291,127.5088805,03,N,N,N,경보음+CCTV+음성통화,2018,2020-04-30,Y,가평군청,031-580-2571,2022-06-14
18049,01,05,청평시장마을회관,,경기도 가평군 청평면 청평리 738-5,37.73436741,127.4155228,03,N,N,N,경보음+CCTV+음성통화,2018,2020-04-30,Y,가평군청,031-580-2571,2022-06-14
18059,01,05,달전리금빛어린이집,경기도 가평군 가평읍 강산길 25,경기도 가평군 가평읍 달전리 336-3,37.8141447,127.5177325,03,N,N,N,경보음+CCTV+음성통화,2018,2020-04-30,Y,가평군청,031-580-2571,2022-06-14
18064,01,05,가평읍내사거리,,경기도 가평군 가평읍 읍내리 448-5,37.83101716,127.5130139,03,N,N,N,경보음+CCTV+음성통화,2018,2020-04-30,Y,가평군청,031-580-2571,2022-06-14
18068,01,05,읍내장터해장국,경기도 가평군 가평읍 장터2길 10,경기도 가평군 가평읍 읍내리 406-4,37.83005003,127.5147423,03,N,N,N,경보음+CCTV+음성통화,2018,2020-04-30,Y,가평군청,031-580-2571,2022-06-14
18073,01,05,대성리 관광유원지,경기도 가평군 청평면 대성강변길 25-45,경기도 가평군 청평면 대성리 392-46,37.6815443,127.3805749,03,N,N,N,경보음+CCTV+음성통화,2018,2020-04-30,Y,가평군청,031-580-2571,2022-06-14
18076,01,05,가평중후문,경기도 가평군 가평읍 광장로 10,경기도 가평군 가평읍 대곡리 273,37.8273431,127.5101393,03,N,N,N,경보음+CCTV+음성통화,2018,2020-04-30,Y,가평군청,031-580-2571,2022-06-14
18090,01,05,대원장여관,,경기도 가평군 조종면 현리 598,37.818601,127.350195,03,N,N,N,경보음+CCTV+음성통화,2018,2020-04-30,Y,가평군청,031-580-2571,2022-06-14
18094,01,05,농협 가평군지부앞,,경기도 가평군 가평읍 읍내리 474-9,37.829511,127.5139799,03,N,N,N,경보음+CCTV+음성통화,2019,2020-04-30,Y,가평군청,031-580-2571,2022-06-14
18098,01,05,명지산추자창앞,경기도 가평군 북면 가화로 2089-47,경기도 가평군 북면 도대리 623번지,37.9352299,127.4864999,03,N,N,N,경보음+CCTV+음성통화,2019,2020-04-30,Y,가평군청,031-580-2571,2022-06-14
18102,01,05,청평밤나무집앞,,경기도 가평군 청평면 청평리 424-8,37.7362303,127.4180477,03,N,N,N,경보음+CCTV+음성통화,2018,2020-04-30,Y,가평군청,031-580-2571,2022-06-14
18028,01,05,상천초등학교앞,경기도 가평군 청평면 상천역로19번길 38,경기도 가평군 청평면 상천리 1336-1,37.77003188,127.4566418,03,N,N,N,경보음+CCTV+음성통화,2018,2020-04-30,Y,가평군청,031-580-2571,2022-06-14
18038,01,05,넥스빌아파트,,경기도 가평군 가평읍 달전리 279-11,37.81368987,127.519669,03,N,N,N,경보음+CCTV+음성통화,2018,2020-04-30,Y,가평군청,031-580-2571,2022-06-14
18041,01,05,상천리경로당(마을회관),,경기도 가평군 청평면 상천리 1354-4,37.76939382,127.4588129,03,N,N,N,경보음+CCTV+음성통화,2018,2020-04-30,Y,가평군청,031-580-2571,2022-06-14
18048,01,05,청일덱스빌아파트,,경기도 가평군 청평면 청평리 738-11,37.73315299,127.414897,03,N,N,N,경보음+CCTV+음성통화,2018,2020-04-30,Y,가평군청,031-580-2571,2022-06-14
18005,01,01,북면근린공원,경기도 가평군 북면 가화로 1030-39,경기도 가평군 북면 목동리 913-4,37.88804155,127.5485915,03,N,N,N,경보음+CCTV+음성통화,2018,2020-04-30,Y,가평군청,031-580-2571,2022-06-14
18006,01,01,상면다목적체육공원,경기도 가평군 상면 비룡로 2251,경기도 가평군 상면 연하리 546-25,37.80359726,127.3486054,03,N,N,N,경보음+CCTV+음성통화,2018,2020-04-30,Y,가평군청,031-580-2571,2022-06-14
18007,01,01,조종생활체육공원,,경기도 가평군 조종면 현리 420-65,37.81683944,127.3527927,03,N,N,N,경보음+CCTV+음성통화,2018,2020-04-30,Y,가평군청,031-580-2571,2022-06-14
18008,01,01,조종생활체육공원내,경기도 가평군 조종면 조종희망로26번길 16,경기도 가평군 조종면 현리 419-4,37.81821482,127.351381,03,N,N,N,경보음+CCTV+음성통화,2018,2020-04-30,Y,가평군청,031-580-2571,2022-06-14
18009,01,01,설악체육공원1,,경기도 가평군 설악면 신천리 518-2,37.68362277,127.4898696,03,N,N,N,경보음+CCTV+음성통화,2018,2020-04-30,Y,가평군청,031-580-2571,2022-06-14
18010,01,01,설악체육공원2,,경기도 가평군 설악면 신천리 산 1-5,37.68398501,127.4894014,03,N,N,N,경보음+CCTV+음성통화,2018,2020-04-30,Y,가평군청,031-580-2571,2022-06-14
18011,01,01,설악체육공원3,,경기도 가평군 설악면 선촌리 65-8,37.68508108,127.4902133,03,N,N,N,경보음+CCTV+음성통화,2018,2020-04-30,Y,가평군청,031-580-2571,2022-06-14
18012,01,01,설악체육공원4,,경기도 가평군 설악면 선촌리 산 34-5,37.68499311,127.4895309,03,N,N,N,경보음+CCTV+음성통화,2018,2020-04-30,Y,가평군청,031-580-2571,2022-06-14
18013,01,01,현리시가지테마공원,,경기도 가평군 조종면 현리 264-72,37.81905305,127.3489395,03,N,N,N,경보음+CCTV+음성통화,2018,2020-04-30,Y,가평군청,031-580-2571,2022-06-14
18014,01,01,조종면어린이공원,,경기도 가평군 조종면 현리 477-308,37.81137189,127.350772,03,N,N,N,경보음+CCTV+음성통화,2018,2020-04-30,Y,가평군청,031-580-2571,2022-06-14
