"죄종별(1)","죄종별(2)","성별(1)",연령별(1),2018,2019,2020,2021
"계","소계","계",계,1580751,1611906,1587866,1429826
"계","소계","남자",계,721320,736393,739995,615647
"계","소계","남자",6세이하,2308,2331,2105,2471
"계","소계","남자",12세이하,5356,5952,5135,6462
"계","소계","남자",15세이하,7646,8249,7160,7232
"계","소계","남자",20세이하,41366,40400,39091,29677
"계","소계","남자",30세이하,129964,137058,144463,115886
"계","소계","남자",40세이하,137409,139234,143091,116712
"계","소계","남자",50세이하,149239,146868,144961,118930
"계","소계","남자",60세이하,145599,145725,142223,117502
"계","소계","남자",60세초과,100082,108183,109007,98143
"계","소계","남자",미상,2351,2393,2759,2632
"계","소계","여자",계,429474,457804,458318,406593
"계","소계","여자",6세이하,1684,1721,1584,1769
"계","소계","여자",12세이하,3869,4392,3903,5061
"계","소계","여자",15세이하,5707,6016,5470,6744
"계","소계","여자",20세이하,27604,28335,29923,25713
"계","소계","여자",30세이하,83014,84069,88973,81183
"계","소계","여자",40세이하,74043,77464,77322,66879
"계","소계","여자",50세이하,88523,91377,87218,75565
"계","소계","여자",60세이하,86278,96162,95121,80347
"계","소계","여자",60세초과,57232,67016,67614,62345
"계","소계","여자",미상,1520,1252,1190,987
"계","소계","불상",계,429957,417709,389553,407586
"강력범죄","소계","계",계,26787,26476,24332,22476
"강력범죄","소계","남자",계,3160,3072,2821,2485
"강력범죄","소계","남자",6세이하,38,28,38,26
"강력범죄","소계","남자",12세이하,149,155,124,121
"강력범죄","소계","남자",15세이하,104,104,74,75
"강력범죄","소계","남자",20세이하,352,320,242,215
"강력범죄","소계","남자",30세이하,690,674,682,590
"강력범죄","소계","남자",40세이하,440,455,416,373
"강력범죄","소계","남자",50세이하,467,506,427,346
"강력범죄","소계","남자",60세이하,544,454,452,399
"강력범죄","소계","남자",60세초과,369,366,354,334
"강력범죄","소계","남자",미상,7,10,12,6
"강력범죄","소계","여자",계,22614,22718,21006,19296
"강력범죄","소계","여자",6세이하,106,146,117,110
"강력범죄","소계","여자",12세이하,920,957,778,845
"강력범죄","소계","여자",15세이하,1054,1018,974,1214
"강력범죄","소계","여자",20세이하,4342,4169,3531,3037
"강력범죄","소계","여자",30세이하,8083,8089,7751,6970
"강력범죄","소계","여자",40세이하,2874,3067,2947,2769
"강력범죄","소계","여자",50세이하,2368,2321,2133,1851
"강력범죄","소계","여자",60세이하,1799,1892,1765,1500
"강력범죄","소계","여자",60세초과,929,973,987,973
"강력범죄","소계","여자",미상,139,86,23,27
"강력범죄","소계","불상",계,1013,686,505,695
"강력범죄","살인기수","계",계,309,297,308,270
"강력범죄","살인기수","남자",계,152,138,164,142
"강력범죄","살인기수","남자",6세이하,10,4,14,9
"강력범죄","살인기수","남자",12세이하,-,1,4,1
"강력범죄","살인기수","남자",15세이하,-,-,2,1
"강력범죄","살인기수","남자",20세이하,2,7,5,2
"강력범죄","살인기수","남자",30세이하,12,13,14,18
"강력범죄","살인기수","남자",40세이하,21,19,17,10
"강력범죄","살인기수","남자",50세이하,34,26,23,29
"강력범죄","살인기수","남자",60세이하,42,28,39,30
"강력범죄","살인기수","남자",60세초과,31,40,46,40
"강력범죄","살인기수","남자",미상,-,-,-,2
"강력범죄","살인기수","여자",계,154,154,138,128
"강력범죄","살인기수","여자",6세이하,8,9,5,7
"강력범죄","살인기수","여자",12세이하,3,5,1,5
"강력범죄","살인기수","여자",15세이하,-,1,2,2
"강력범죄","살인기수","여자",20세이하,4,3,2,2
"강력범죄","살인기수","여자",30세이하,17,13,10,9
"강력범죄","살인기수","여자",40세이하,27,21,16,19
"강력범죄","살인기수","여자",50세이하,20,24,24,17
"강력범죄","살인기수","여자",60세이하,32,32,31,28
"강력범죄","살인기수","여자",60세초과,43,46,47,39
"강력범죄","살인기수","여자",미상,-,-,-,-
"강력범죄","살인기수","불상",계,3,5,6,-
"강력범죄","살인미수등","계",계,488,482,416,388
"강력범죄","살인미수등","남자",계,302,290,252,239
"강력범죄","살인미수등","남자",6세이하,5,2,2,4
"강력범죄","살인미수등","남자",12세이하,2,-,2,4
"강력범죄","살인미수등","남자",15세이하,-,-,1,1
"강력범죄","살인미수등","남자",20세이하,7,8,4,4
"강력범죄","살인미수등","남자",30세이하,32,31,30,32
"강력범죄","살인미수등","남자",40세이하,47,41,34,29
"강력범죄","살인미수등","남자",50세이하,62,78,50,48
"강력범죄","살인미수등","남자",60세이하,83,71,67,59
"강력범죄","살인미수등","남자",60세초과,64,58,60,58
"강력범죄","살인미수등","남자",미상,-,1,2,-
"강력범죄","살인미수등","여자",계,161,172,147,141
"강력범죄","살인미수등","여자",6세이하,-,4,1,4
"강력범죄","살인미수등","여자",12세이하,1,-,2,1
"강력범죄","살인미수등","여자",15세이하,2,-,-,-
"강력범죄","살인미수등","여자",20세이하,8,3,3,7
"강력범죄","살인미수등","여자",30세이하,20,16,18,17
"강력범죄","살인미수등","여자",40세이하,22,19,18,20
"강력범죄","살인미수등","여자",50세이하,34,44,38,27
"강력범죄","살인미수등","여자",60세이하,38,48,41,28
"강력범죄","살인미수등","여자",60세초과,35,38,26,37
"강력범죄","살인미수등","여자",미상,1,-,-,-
