"죄종별(1)","연령별(1)","성별(1)",2018,2019,2020,2021
"계","계","계",1580751,1611906,1587866,1429826
"계","계","남자",721320,736393,739995,615647
"계","계","여자",429474,457804,458318,406593
"계","6세이하","남자",2308,2331,2105,2471
"계","6세이하","여자",1684,1721,1584,1769
"계","12세이하","남자",5356,5952,5135,6462
"계","12세이하","여자",3869,4392,3903,5061
"계","15세이하","남자",7646,8249,7160,7232
"계","15세이하","여자",5707,6016,5470,6744
"계","20세이하","남자",41366,40400,39091,29677
"계","20세이하","여자",27604,28335,29923,25713
"계","30세이하","남자",129964,137058,144463,115886
"계","30세이하","여자",83014,84069,88973,81183
"계","40세이하","남자",137409,139234,143091,116712
"계","40세이하","여자",74043,77464,77322,66879
"계","50세이하","남자",149239,146868,144961,118930
"계","50세이하","여자",88523,91377,87218,75565
"계","60세이하","남자",145599,145725,142223,117502
"계","60세이하","여자",86278,96162,95121,80347
"계","60세초과","남자",100082,108183,109007,98143
"계","60세초과","여자",57232,67016,67614,62345
"강력범죄","계","계",26787,26476,24332,22476
"강력범죄","계","남자",3160,3072,2821,2485
"강력범죄","계","여자",22614,22718,21006,19296
"강력범죄","6세이하","남자",38,28,38,26
"강력범죄","6세이하","여자",106,146,117,110
"강력범죄","12세이하","남자",149,155,124,121
"강력범죄","12세이하","여자",920,957,778,845
"강력범죄","15세이하","남자",104,104,74,75
"강력범죄","15세이하","여자",1054,1018,974,1214
"강력범죄","20세이하","남자",352,320,242,215
"강력범죄","20세이하","여자",4342,4169,3531,3037
"강력범죄","30세이하","남자",690,674,682,590
"강력범죄","30세이하","여자",8083,8089,7751,6970
"강력범죄","40세이하","남자",440,455,416,373
"강력범죄","40세이하","여자",2874,3067,2947,2769
"강력범죄","50세이하","남자",467,506,427,346
"강력범죄","50세이하","여자",2368,2321,2133,1851
"강력범죄","60세이하","남자",544,454,452,399
"강력범죄","60세이하","여자",1799,1892,1765,1500
"강력범죄","60세초과","남자",369,366,354,334
"강력범죄","60세초과","여자",929,973,987,973
"절도범죄","계","계",176809,186957,179517,166409
"절도범죄","계","남자",111918,116781,111845,98469
"절도범죄","계","여자",60681,65481,62573,56647
"절도범죄","6세이하","남자",4,3,5,2
"절도범죄","6세이하","여자",-,3,-,2
"절도범죄","12세이하","남자",741,748,614,605
"절도범죄","12세이하","여자",148,159,145,154
"절도범죄","15세이하","남자",1887,1953,1566,1420
"절도범죄","15세이하","여자",407,485,323,320
"절도범죄","20세이하","남자",6140,6201,4875,3678
"절도범죄","20세이하","여자",3095,3102,2249,1826
"절도범죄","30세이하","남자",21231,22274,20604,16876
"절도범죄","30세이하","여자",11172,12240,11551,9740
"절도범죄","40세이하","남자",23295,24140,23732,20888
"절도범죄","40세이하","여자",10366,11294,10786,10093
"절도범죄","50세이하","남자",23690,23861,23112,21343
"절도범죄","50세이하","여자",13445,13509,12987,12346
"절도범죄","60세이하","남자",20625,21538,20969,18196
"절도범죄","60세이하","여자",12996,14113,13832,12266
"절도범죄","60세초과","남자",14212,15971,16291,15396
"절도범죄","60세초과","여자",9033,10537,10680,9823
"폭력범죄","계","계",287611,287913,265768,232661
"폭력범죄","계","남자",162970,157679,148051,124208
"폭력범죄","계","여자",95029,98254,89007,78738
"폭력범죄","6세이하","남자",121,164,114,126
"폭력범죄","6세이하","여자",91,96,71,74
"폭력범죄","12세이하","남자",770,832,687,662
"폭력범죄","12세이하","여자",302,366,338,346
"폭력범죄","15세이하","남자",2964,3037,2432,2191
"폭력범죄","15세이하","여자",1405,1401,1116,962
"폭력범죄","20세이하","남자",13455,11869,10248,8173
"폭력범죄","20세이하","여자",5842,5587,4737,3893
"폭력범죄","30세이하","남자",31546,31076,29552,24086
"폭력범죄","30세이하","여자",16051,16231,15067,13364
"폭력범죄","40세이하","남자",27820,26715,25716,21250
"폭력범죄","40세이하","여자",18094,19180,16536,14788
"폭력범죄","50세이하","남자",30935,29478,27380,22526
"폭력범죄","50세이하","여자",21912,21933,19219,17033
"폭력범죄","60세이하","남자",33436,31852,29551,24319
"폭력범죄","60세이하","여자",19862,20526,19099,15785
"폭력범죄","60세초과","남자",21772,22521,22217,20758
"폭력범죄","60세초과","여자",11419,12903,12782,12448
