"범죄발생장소별(1)",계,계,계,계,강력범죄,강력범죄,강력범죄,강력범죄,절도범죄,절도범죄,절도범죄,절도범죄,폭력범죄,폭력범죄,폭력범죄,폭력범죄
"범죄발생장소별(1)",2018,2019,2020,2021,2018,2019,2020,2021,2018,2019,2020,2021,2018,2019,2020,2021
"계",1580751,1611906,1587866,1429826,26787,26476,24332,22476,176809,186957,179517,166409,287611,287913,265768,232661
"아파트, 연립다세대",82841,96879,100386,106001,3570,3892,3892,4212,11515,14344,16697,16482,36459,42880,41192,43041
"단독주택",81199,84895,79936,71347,3017,2725,2710,2707,11542,11448,10196,8535,26393,27895,25308,24346
"노상",644537,625533,603582,551630,3895,3932,3470,3170,39952,45539,46861,46374,109352,106735,97005,81460
"편의점",13548,14355,14697,15489,381,360,364,273,5169,5853,5944,6143,2501,2448,2368,2071
"상점",33272,33591,31629,30962,421,494,493,477,13107,14506,13629,15031,3965,3783,3596,3142
"시장,노점",13825,14809,12757,11232,268,273,276,197,4099,4677,3951,3970,3297,3359,2851,2392
"유흥접객업소",112928,114046,99040,60838,4003,4233,3858,2157,15443,15699,12641,7116,36332,36025,30762,16823
"학교",6606,7179,4375,4983,388,384,224,286,1441,1774,852,1026,1859,1962,968,1194
