"시도(1)","시군구(1)",2018,2019,2020,2021
"시도(1)","시군구(1)",계,계,계,계
"시도(1)","시군구(1)",면적,면적,면적,면적
"전국","전국",100377668317.6,100401284999.9,100412598711.4,100431849363.5
"서울","서울",605238966.0,605237001.6,605228540.7,605243961.2
"경기","경기",10187788175.9,10192514246.5,10195268638.7,10196731502.8
"경기","수원시(계)",121041548.5,121092176.4,121091678.4,121089712.3
"경기","수원시장안구",33341117.0,33342316.9,33342288.9,33342085.1
"경기","수원시권선구",47166542.9,47170329.7,47182349.6,47179157.1
"경기","수원시팔달구",12856188.9,12856109.3,12856138.3,12856945.3
"경기","수원시영통구",27677699.7,27723420.5,27710901.6,27711524.8
"경기","고양시(계)",268076620.0,268088330.4,268102338.8,268112179.4
"경기","용인시(계)",591289209.7,591259246.2,591231392.0,591235775.5
