"행정구역(구동)별(1)","행정구역(구동)별(2)","성별(1)",연령별(1),2018,2019,2020
"장안구","소계","여",합계,142270,138159,135854
"장안구","소계","여",0∼4세,4542,4011,3502
"장안구","소계","여",5∼9세,6147,5665,5368
"장안구","소계","여",10∼14세,6875,6621,6453
"장안구","소계","여",15∼19세,8591,7984,7257
"장안구","소계","여",20∼24세,10920,10550,10215
"장안구","소계","여",25∼29세,9726,9582,9705
"장안구","소계","여",30∼34세,7702,7237,7045
"장안구","소계","여",35∼39세,10558,9332,8579
"장안구","소계","여",40∼44세,11200,10655,10255
"장안구","소계","여",45∼49세,13997,13215,12626
"장안구","소계","여",50∼54세,13138,13199,13252
"장안구","소계","여",55∼59세,11516,11508,11360
"장안구","소계","여",60∼64세,8262,8822,9339
"장안구","소계","여",65∼69세,5411,5675,6226
"장안구","소계","여",70∼74 세,4470,4572,4788
"장안구","소계","여",75∼79세,3941,3972,4042
"장안구","소계","여",80∼84세,2856,2980,3024
"장안구","소계","여",85세이상,2418,2579,2818
"장안구","파장동","여",합계,12117,11885,11712
"장안구","파장동","여",0∼4세,378,329,293
"장안구","파장동","여",5∼9세,451,420,375
"장안구","파장동","여",10∼14세,416,432,429
"장안구","파장동","여",15∼19세,553,511,462
"장안구","파장동","여",20∼24세,768,730,705
"장안구","파장동","여",25∼29세,860,825,842
"장안구","파장동","여",30∼34세,697,647,654
"장안구","파장동","여",35∼39세,861,796,743
"장안구","파장동","여",40∼44세,879,845,796
"장안구","파장동","여",45∼49세,1077,1041,1004
"장안구","파장동","여",50∼54세,1151,1117,1107
"장안구","파장동","여",55∼59세,1162,1142,1079
"장안구","파장동","여",60∼64세,885,962,1014
"장안구","파장동","여",65∼69세,572,595,666
"장안구","파장동","여",70∼74 세,494,520,538
"장안구","파장동","여",75∼79세,380,403,401
"장안구","파장동","여",80∼84세,282,291,317
"장안구","파장동","여",85세이상,251,279,287
"장안구","율천동","여",합계,21273,20803,20373
"장안구","율천동","여",0∼4세,852,748,622
"장안구","율천동","여",5∼9세,960,908,913
"장안구","율천동","여",10∼14세,1000,947,922
"장안구","율천동","여",15∼19세,1281,1243,1048
"장안구","율천동","여",20∼24세,2280,2279,2224
"장안구","율천동","여",25∼29세,1689,1690,1695
"장안구","율천동","여",30∼34세,1374,1325,1299
"장안구","율천동","여",35∼39세,1730,1512,1435
"장안구","율천동","여",40∼44세,1602,1535,1519
"장안구","율천동","여",45∼49세,1981,1868,1759
"장안구","율천동","여",50∼54세,1820,1879,1885
"장안구","율천동","여",55∼59세,1502,1481,1491
"장안구","율천동","여",60∼64세,1002,1107,1182
"장안구","율천동","여",65∼69세,656,660,685
"장안구","율천동","여",70∼74 세,468,477,530
"장안구","율천동","여",75∼79세,478,476,464
