행정구역(구동)별(1),행정구역(구동)별(2),연령별(1),2018,2019,2020,,,
장안구,소계,합계,286433,278377,273661,,,
장안구,소계,0∼4세,9522,8210,7115,54617,50698,46992
장안구,소계,5∼9세,12724,11882,11226,,,
장안구,소계,10∼14세,14241,13622,13372,,,
장안구,소계,15∼19세,18130,16984,15279,,,
장안구,소계,20∼24세,23831,22957,22218,82609,78711,76666
장안구,소계,25∼29세,21535,21431,21781,,,
장안구,소계,30∼34세,16235,15555,15301,,,
장안구,소계,35∼39세,21008,18768,17366,,,
장안구,소계,40∼44세,22286,21071,20313,99489,96755,94579
장안구,소계,45∼49세,27735,26333,25000,,,
장안구,소계,50∼54세,25977,26018,26128,,,
장안구,소계,55∼59세,23491,23333,23138,,,
장안구,소계,60∼64세,16541,17634,18767,49718,52213,55424
장안구,소계,65∼69세,10328,10901,11972,,,
장안구,소계,70∼74 세,8138,8431,8827,,,
장안구,소계,75∼79세,6840,6868,6976,,,
장안구,소계,80∼84세,4534,4778,4918,,,
장안구,소계,85세이상,3337,3601,3964,,,
장안구,파장동,합계,24548,23987,23611,,,
장안구,파장동,0∼4세,816,675,591,3840,3562,3244
장안구,파장동,5∼9세,918,871,789,,,
장안구,파장동,10∼14세,860,866,854,,,
장안구,파장동,15∼19세,1246,1150,1010,,,
장안구,파장동,20∼24세,1757,1645,1587,6927,6528,6386
장안구,파장동,25∼29세,1842,1803,1827,,,
장안구,파장동,30∼34세,1531,1458,1442,,,
장안구,파장동,35∼39세,1797,1622,1530,,,
장안구,파장동,40∼44세,1837,1743,1661,8595,8340,8100
장안구,파장동,45∼49세,2197,2138,2031,,,
장안구,파장동,50∼54세,2227,2194,2225,,,
장안구,파장동,55∼59세,2334,2265,2183,,,
장안구,파장동,60∼64세,1769,1912,2028,5186,5557,5881
장안구,파장동,65∼69세,1112,1184,1300,,,
장안구,파장동,70∼74 세,864,924,978,,,
장안구,파장동,75∼79세,675,717,698,,,
장안구,파장동,80∼84세,448,464,505,,,
장안구,파장동,85세이상,318,356,372,,,
장안구,율천동,합계,44821,43984,43147,,,
장안구,율천동,0∼4세,1676,1438,1265,8549,8028,7322
장안구,율천동,5∼9세,2017,1910,1884,,,
장안구,율천동,10∼14세,2019,1928,1880,,,
장안구,율천동,15∼19세,2837,2752,2293,,,
장안구,율천동,20∼24세,5579,5668,5345,16574,16236,15944
장안구,율천동,25∼29세,4515,4568,4749,,,
장안구,율천동,30∼34세,3003,2893,2934,,,
장안구,율천동,35∼39세,3477,3107,2916,,,
장안구,율천동,40∼44세,3266,3099,3068,13863,13547,13317
장안구,율천동,45∼49세,3910,3727,3463,,,
장안구,율천동,50∼54세,3624,3703,3729,,,
장안구,율천동,55∼59세,3063,3018,3057,,,
장안구,율천동,60∼64세,2025,2203,2372,5835,6173,6564
장안구,율천동,65∼69세,1246,1293,1391,,,
장안구,율천동,70∼74 세,852,878,955,,,
장안구,율천동,75∼79세,793,797,792,,,
장안구,율천동,80∼84세,549,584,597,,,
장안구,율천동,85세이상,370,418,457,,,
장안구,정자1동,합계,31758,30675,29813,,,
장안구,정자1동,0∼4세,1253,1073,942,6993,6521,6065
장안구,정자1동,5∼9세,1818,1700,1587,,,
장안구,정자1동,10∼14세,1847,1784,1712,,,
장안구,정자1동,15∼19세,2075,1964,1824,,,
장안구,정자1동,20∼24세,2346,2199,2100,8555,8034,7628
장안구,정자1동,25∼29세,2080,2098,2049,,,
장안구,정자1동,30∼34세,1594,1537,1486,,,
장안구,정자1동,35∼39세,2535,2200,1993,,,
장안구,정자1동,40∼44세,2773,2546,2441,11314,11022,10745
장안구,정자1동,45∼49세,3287,3113,3013,,,
장안구,정자1동,50∼54세,2857,2938,2936,,,
장안구,정자1동,55∼59세,2397,2425,2355,,,
장안구,정자1동,60∼64세,1693,1792,1847,4896,5098,5375
장안구,정자1동,65∼69세,1012,1036,1178,,,
장안구,정자1동,70∼74 세,788,827,848,,,
장안구,정자1동,75∼79세,630,645,644,,,
장안구,정자1동,80∼84세,438,458,473,,,
장안구,정자1동,85세이상,335,340,385,,,
장안구,정자2동,합계,31214,30416,30060,,,
장안구,정자2동,0∼4세,1063,932,781,6019,5535,5146
장안구,정자2동,5∼9세,1310,1215,1198,,,
장안구,정자2동,10∼14세,1553,1464,1402,,,
장안구,정자2동,15∼19세,2093,1924,1765,,,
장안구,정자2동,20∼24세,2294,2206,2168,8599,8199,8018
장안구,정자2동,25∼29세,2195,2182,2196,,,
장안구,정자2동,30∼34세,1786,1698,1708,,,
장안구,정자2동,35∼39세,2324,2113,1946,,,
장안구,정자2동,40∼44세,2433,2352,2231,10912,10671,10505
장안구,정자2동,45∼49세,3105,2906,2832,,,
장안구,정자2동,50∼54세,2864,2884,2866,,,
장안구,정자2동,55∼59세,2510,2529,2576,,,
장안구,정자2동,60∼64세,1767,1902,2014,5684,6011,6391
장안구,정자2동,65∼69세,1200,1253,1388,,,
장안구,정자2동,70∼74 세,980,1022,1075,,,
장안구,정자2동,75∼79세,858,869,909,,,
장안구,정자2동,80∼84세,524,581,589,,,
장안구,정자2동,85세이상,355,384,416,,,
장안구,정자3동,합계,44169,43465,42795,,,
장안구,정자3동,0∼4세,1505,1372,1189,11858,11304,10648
장안구,정자3동,5∼9세,2819,2641,2477,,,
장안구,정자3동,10∼14세,3630,3524,3448,,,
장안구,정자3동,15∼19세,3904,3767,3534,,,
장안구,정자3동,20∼24세,3604,3530,3503,11292,10950,10685
장안구,정자3동,25∼29세,2681,2669,2738,,,
장안구,정자3동,30∼34세,1843,1906,1877,,,
장안구,정자3동,35∼39세,3164,2845,2567,,,
장안구,정자3동,40∼44세,4471,4225,4002,16746,16630,16503
장안구,정자3동,45∼49세,5423,5262,4996,,,
장안구,정자3동,50∼54세,4042,4208,4457,,,
장안구,정자3동,55∼59세,2810,2935,3048,,,
장안구,정자3동,60∼64세,1462,1642,1838,4273,4581,4959
장안구,정자3동,65∼69세,801,877,961,,,
장안구,정자3동,70∼74 세,673,692,742,,,
장안구,정자3동,75∼79세,613,602,607,,,
장안구,정자3동,80∼84세,441,453,465,,,
장안구,정자3동,85세이상,283,315,346,,,
장안구,영화동,합계,21082,20642,20340,,,
장안구,영화동,0∼4세,528,435,367,2508,2301,2077
장안구,영화동,5∼9세,542,528,493,,,
장안구,영화동,10∼14세,563,539,556,,,
장안구,영화동,15∼19세,875,799,661,,,
장안구,영화동,20∼24세,1246,1184,1164,5728,5396,5229
장안구,영화동,25∼29세,1575,1566,1570,,,
장안구,영화동,30∼34세,1327,1229,1169,,,
장안구,영화동,35∼39세,1580,1417,1326,,,
장안구,영화동,40∼44세,1411,1363,1329,7458,7233,6929
장안구,영화동,45∼49세,1795,1728,1604,,,
장안구,영화동,50∼54세,1979,1906,1889,,,
장안구,영화동,55∼59세,2273,2236,2107,,,
장안구,영화동,60∼64세,1803,1924,2048,5388,5712,6105
장안구,영화동,65∼69세,1224,1312,1451,,,
장안구,영화동,70∼74 세,974,1027,1048,,,
장안구,영화동,75∼79세,692,689,732,,,
장안구,영화동,80∼84세,417,464,484,,,
장안구,영화동,85세이상,278,296,342,,,
장안구,송죽동,합계,20437,19907,19673,,,
장안구,송죽동,0∼4세,710,599,498,3400,3089,2885
장안구,송죽동,5∼9세,697,674,641,,,
장안구,송죽동,10∼14세,870,780,770,,,
장안구,송죽동,15∼19세,1123,1036,976,,,
장안구,송죽동,20∼24세,1491,1459,1385,6167,5876,5692
장안구,송죽동,25∼29세,1550,1604,1659,,,
장안구,송죽동,30∼34세,1467,1330,1268,,,
장안구,송죽동,35∼39세,1659,1483,1380,,,
장안구,송죽동,40∼44세,1482,1429,1402,7040,6842,6734
장안구,송죽동,45∼49세,1834,1732,1654,,,
장안구,송죽동,50∼54세,1859,1850,1838,,,
장안구,송죽동,55∼59세,1865,1831,1840,,,
장안구,송죽동,60∼64세,1397,1503,1581,3830,4100,4362
장안구,송죽동,65∼69세,814,880,944,,,
장안구,송죽동,70∼74 세,590,612,669,,,
장안구,송죽동,75∼79세,490,514,539,,,
장안구,송죽동,80∼84세,321,329,347,,,
장안구,송죽동,85세이상,218,262,282,,,
장안구,조원1동,합계,29998,29317,28771,,,
장안구,조원1동,0∼4세,823,703,592,5188,4727,4330
장안구,조원1동,5∼9세,1159,1007,924,,,
장안구,조원1동,10∼14세,1346,1278,1262,,,
장안구,조원1동,15∼19세,1860,1739,1552,,,
장안구,조원1동,20∼24세,2358,2211,2143,8216,7840,7597
장안구,조원1동,25∼29세,2217,2215,2199,,,
