"교육과정별(1)","학교현황별(1)","학교현황별(2)",행정구역(구)별(1),2018,2019,2020,2021
"합계","학교수 (개)","소계",합계,408,407,401,416
"합계","학교수 (개)","소계",장안구,100,99,96,97
"합계","학교수 (개)","소계",권선구,124,122,122,120
"합계","학교수 (개)","소계",팔달구,63,62,60,61
"합계","학교수 (개)","소계",영통구,121,124,123,138
"합계","학생수 (명)","소계",합계,224667,222124,210498,201737
"합계","학생수 (명)","소계",장안구,53773,54456,57086,39759
"합계","학생수 (명)","소계",권선구,48293,47484,46101,45401
"합계","학생수 (명)","소계",팔달구,30566,29035,26639,27372
"합계","학생수 (명)","소계",영통구,92035,91149,80672,89205
"합계","학생수 (명)","남",합계,117959,117354,109566,103513
"합계","학생수 (명)","남",장안구,30093,31475,33075,20835
"합계","학생수 (명)","남",권선구,22064,21751,21178,20899
"합계","학생수 (명)","남",팔달구,15044,14198,13207,13283
"합계","학생수 (명)","남",영통구,50758,49930,42106,48496
"합계","학생수 (명)","여",합계,106708,104770,100932,98224
"합계","학생수 (명)","여",장안구,23680,22981,24011,18924
"합계","학생수 (명)","여",권선구,26229,25733,24923,24502
"합계","학생수 (명)","여",팔달구,15522,14837,13432,14089
"합계","학생수 (명)","여",영통구,41277,41219,38566,40709
"유치원","학교수 (개)","소계",합계,195,192,189,183
"유치원","학교수 (개)","소계",장안구,48,47,45,43
"유치원","학교수 (개)","소계",권선구,66,64,64,62
"유치원","학교수 (개)","소계",팔달구,25,24,24,23
"유치원","학교수 (개)","소계",영통구,56,57,56,55
"유치원","학생수 (명)","소계",합계,20185,18404,17358,15710
"유치원","학생수 (명)","소계",장안구,5047,4553,4122,3766
"유치원","학생수 (명)","소계",권선구,6685,6123,5820,5341
"유치원","학생수 (명)","소계",팔달구,1553,1396,1268,1225
"유치원","학생수 (명)","소계",영통구,6900,6332,6148,5378
"유치원","학생수 (명)","남",합계,10245,9408,8819,8052
"유치원","학생수 (명)","남",장안구,2586,2339,2119,1918
"유치원","학생수 (명)","남",권선구,3379,3073,2887,2721
"유치원","학생수 (명)","남",팔달구,796,725,671,628
"유치원","학생수 (명)","남",영통구,3484,3271,3142,2785
"유치원","학생수 (명)","여",합계,9940,8996,8539,7658
"유치원","학생수 (명)","여",장안구,2461,2214,2003,1848
